# PC-98 の「手元の呼び名 → 探すときの題名」。
# 棚の名前はディスクのファイル名から起こしているので、
# 略していたり、セーブ用に付け足していたりして、そのままでは検索に当たらない。
# 左が棚の名前、右が探すときに使う題名。# から後ろは覚え書き。
信長全国版	信長の野望 全国版
信長群雄伝	信長の野望 戦国群雄伝
信長の野望 群雄伝	信長の野望 戦国群雄伝
大航海時代 海	大航海時代
天下統一2PK	天下統一II パワーアップキット
水滸伝A改良版	水滸伝 天命の誓い
実践ビリヤード	実戦ビリヤード
きゃんきゃんバニー５エクストラ	きゃんきゃんバニー5 エクストラ
LOAD OF WARS	ロードオブウォーズ
HUSLER 2055	ハスラー2055
LIPSTICK ADV3	リップスティックアドベンチャー3
Popl	ポップルメイル
Robo Crush 2	ロボクラッシュ2
PC-9801 Game Pack Vol.1	ゲームパック
Mahjong Gokuu Professional	麻雀悟空 プロフェッショナル
天下統一2PK	天下統一2
きゃんきゃんバニー５エクストラ	きゃんきゃんバニー エクストラ
Aya3	はっちゃけあやよさん3
Aya3M	はっちゃけあやよさん3
(N64 ROM)マリオカート64J	マリオカート64
マリオカート64J	マリオカート64
